Albatross: Albatros
Alligator: Alligator
Alpaca: Alpaka
Anoa: Anoa
Ant: Semut
Anteater: Trenggiling
Antelope: Antelop
Ape: Kera
Baboon: Babon
Badger: Luwak
Bat: Kelelawar
Bear: Beruang
Beaver: Biwara
Bee: Lebah
Beetle: Kumbang
Bird: Burung
Bison: Bison
Bull: Banteng
Buzzard: Rajawali
Camel: Unta
Canary: Kenari
Capybara: Kapibara
Cassowary: Kasuari
Cat: Kucing
Catfish: Lele
Centipede: Kelabang
Charmeleon: Bunglon
Cheetah: Citah
Chicken: Ayam
Chimpanzee: Simpanse
Clam: Kerang
Cob: Tongkol
Cobra: kobra
Cockatoo: Kakatua
Cockle: Tiram
Cockroach: Kecoa
Conch: Keong
Cow: Sapi
Crab: Kepiting
Crane: Bangau
Cricket: Jangkrik
Crocodile: Buaya
Crow: Gagak
Cuscus: Kuskus
Deer: Rusa
Dog: Anjing
Donkey: Keledai
Dove: Burung
Dragonfly: Capung
Duck: Bebek
